dataset,stem_group,genre_sub,split,files,total_h,active_h,active_frac,n_segments,seg_p25_s,seg_p50_s,seg_p75_s,gap_p25_s,gap_p50_s,gap_p75_s,gap_p95_s
71955,타악기,궁중음악,val,9.0,1.17,0.34,0.2908,744.0,1.29,1.33,2.07,0.74,1.29,4.14,14.95
71955,타악기,대풍류,test,6.0,0.43,0.33,0.7646,475.0,1.75,1.79,2.53,0.23,0.37,0.83,2.3
71955,타악기,대풍류,train,32.0,2.39,1.52,0.6338,1737.0,1.52,1.61,1.84,0.64,1.01,1.47,5.78
71955,타악기,대풍류,val,4.0,0.2,0.16,0.8242,177.0,1.56,1.7,1.7,0.46,0.87,1.01,1.06
71955,타악기,민요,test,11.0,0.72,0.71,0.989,52.0,6.38,12.05,30.6,0.23,0.41,0.64,1.2
71955,타악기,민요,train,56.0,3.75,3.7,0.9887,322.0,3.17,10.28,28.69,0.18,0.37,0.69,1.55
71955,타악기,민요,val,8.0,0.49,0.48,0.9974,16.0,17.2,51.31,208.73,0.13,0.21,0.32,0.77
71955,타악기,산조,test,30.0,1.53,1.08,0.7064,992.0,0.92,1.84,4.14,0.28,0.74,2.16,5.43
71955,타악기,산조,train,150.0,8.43,6.44,0.7646,5918.0,0.74,2.3,4.46,0.14,0.55,1.33,4.74
71955,타악기,산조,val,20.0,1.16,0.86,0.7396,967.0,0.55,1.66,4.19,0.18,0.55,1.2,4.51
71955,타악기,창작국악,test,37.0,2.05,1.14,0.5569,423.0,1.56,1.98,6.12,0.28,1.06,3.12,57.09
71955,타악기,창작국악,train,227.0,13.58,9.23,0.68,3534.0,1.56,2.12,5.38,0.32,0.69,2.44,15.46
71955,타악기,창작국악,val,36.0,1.83,1.17,0.6384,424.0,1.56,1.89,4.95,0.41,1.06,3.67,21.01
71955,타악기,판소리,test,40.0,2.16,1.73,0.7981,2269.0,0.64,1.84,3.22,0.14,0.37,0.78,2.42
71955,타악기,판소리,train,202.0,13.47,10.3,0.7647,15073.0,0.55,1.66,2.9,0.18,0.37,0.87,2.81
71955,타악기,판소리,val,27.0,1.53,1.25,0.8164,1527.0,0.55,1.75,2.99,0.18,0.32,0.78,1.93
71955,타악기,풍류음악,test,19.0,1.15,0.78,0.6799,1171.0,1.06,1.79,2.67,0.18,0.46,0.92,5.11
71955,타악기,풍류음악,train,94.0,6.44,3.94,0.611,6872.0,0.97,1.66,2.39,0.37,0.69,1.15,4.78
